,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
22,22,0 days 01:06:00,17269.9,26.848247061269774,-104.87867647058823,2020-10-01 21:22:00,2020-10-01 22:28:00,0 days 00:56:00,-8201.337208637453,647.3818181818183,1521.0383662093604
23,23,0 days 00:08:00,13732.849999999999,18.34245590977332,-2940.534999999999,2020-10-13 16:32:00,2020-10-13 16:40:00,0 days 03:52:00,1405.8669437774988,-661.4500000000044,-9859.652606677682
24,24,0 days 00:32:00,14703.849999999999,19.6393844197614,-193.6294117647057,2020-10-13 16:32:00,2020-10-13 17:04:00,0 days 03:52:00,1405.8669437774988,950.9145833333332,-3367.6644411119596
25,25,0 days 00:12:00,16090.322537112006,29.876798006083334,-1989.3714285714284,2020-10-17 06:14:00,2020-10-17 06:26:00,0 days 02:14:00,3499.1849596971224,222.04999999999927,-10471.100748086787
26,26,0 days 00:16:00,13304.050000000003,16.15586759135911,-450.0222222222235,2020-11-01 14:30:00,2020-11-01 14:46:00,0 days 00:26:00,11743.140153585828,972.6107142857135,-2068.5134650280643
27,27,0 days 00:44:00,32278.325000000004,36.71288335917568,-766.4695652173914,2020-11-09 18:28:00,2020-11-09 19:12:00,0 days 02:18:00,1810.8737831526414,247.57380952380967,-20886.80465961055
28,28,0 days 00:22:00,21061.975000000006,28.537888760093523,-458.5208333333333,2020-11-09 19:12:00,2020-11-09 19:34:00,0 days 00:26:00,-27953.927258259137,1407.3275,-1129.2666196451337
29,29,0 days 00:06:00,6070.178205128206,7.129297501882931,-1452.2687499999993,2020-11-21 03:20:00,2020-11-21 03:26:00,0 days 00:18:00,123.4361968464095,-1849.2510683760677,-2858.5347390012175
30,30,0 days 00:28:00,59625.025,53.413896834404895,-600.4383333333332,2020-11-27 18:56:00,2020-11-27 19:24:00,0 days 00:50:00,-1266.3208481505608,2584.346153846154,-5220.78169343643
31,31,0 days 00:36:00,35557.12500000001,38.31025302326384,-288.1947368421051,2020-11-28 00:12:00,2020-11-28 00:48:00,0 days 02:02:00,7432.138475248899,237.38970588235293,-4162.320809137749
32,32,0 days 00:40:00,22536.55,43.989549418718134,-55.89047619047605,2020-12-04 12:32:00,2020-12-04 13:12:00,0 days 00:50:00,-23959.292188131963,2770.9857142857145,-2943.639237299083
33,33,0 days 00:56:00,45670.675,41.778438957566976,-325.02844827586244,2020-12-17 19:34:00,2020-12-17 20:30:00,0 days 01:18:00,1897.8441945071609,1234.7999999999995,-4965.7317882235
34,34,0 days 00:08:00,3658.25,4.026115133190871,753.8049999999988,2020-12-17 20:08:00,2020-12-17 20:16:00,0 days 00:10:00,-36593.930279103486,753.8049999999988,4962.630981189997
35,35,0 days 00:24:00,9989.674999999996,16.57994002646403,-133.14230769230758,2020-12-18 09:28:00,2020-12-18 09:52:00,0 days 00:54:00,4300.911151537628,240.82045454545468,-2056.111033845364
36,36,0 days 00:16:00,26255.649999999994,24.21729259124149,-1385.8444444444451,2020-12-18 23:00:00,2020-12-18 23:16:00,0 days 00:32:00,11252.865861374026,1412.7999999999988,-4783.455170320734
37,37,0 days 00:26:00,18366.75,24.672373302508674,-187.23035714285757,2020-12-22 11:38:00,2020-12-22 12:04:00,0 days 01:02:00,-3473.785504817901,-201.73076923076923,-2229.426472930538
38,38,0 days 00:20:00,16104.5,17.81011702456196,-238.0045454545457,2020-12-24 16:50:00,2020-12-24 17:10:00,0 days 03:40:00,-8586.295455175423,-199.2625,-2830.1821892019093
39,39,0 days 00:16:00,12832.25,21.306924906258914,-180.98611111111111,2020-12-25 10:00:00,2020-12-25 10:16:00,0 days 00:42:00,6785.696649036676,-204.03125,-1224.689549714833
40,40,0 days 00:16:00,11969.100000000006,17.4434466295328,-172.38611111111175,2020-12-27 10:20:00,2020-12-27 10:36:00,0 days 00:48:00,-4615.414010128516,-200.99687500000073,-1857.6594559786822
41,41,0 days 00:40:00,30056.175000000003,39.38868348587034,-429.42619047619036,2020-12-28 06:10:00,2020-12-28 06:50:00,0 days 01:34:00,-4471.528319498368,1126.994444444444,-2221.86703220872
42,42,0 days 00:30:00,10810.574999999997,12.608525522450378,-325.7218750000002,2020-12-29 05:18:00,2020-12-29 05:48:00,0 days 00:36:00,-5182.352475566175,-335.59333333333296,-38.87200879819056
43,43,0 days 00:16:00,13928.75,24.679015550238177,-220.00277777777794,2021-01-07 08:24:00,2021-01-07 08:40:00,0 days 00:42:00,3344.909855029531,-247.19375000000036,-1765.4553706137726
44,44,0 days 00:12:00,10434.399999999994,13.49748128466932,-215.73571428571344,2021-01-07 12:18:00,2021-01-07 12:30:00,0 days 00:30:00,3622.9633391184184,-252.8208333333314,-1894.5255449441256
45,45,0 days 00:26:00,42662.55,30.36466919631141,-789.2017857142865,2021-01-15 18:52:00,2021-01-15 19:18:00,0 days 00:42:00,5898.946408391726,1485.6041666666654,-7040.582256971456
46,46,0 days 00:26:00,42662.55,30.36466919631141,-789.2017857142865,2021-01-15 18:52:00,2021-01-15 19:18:00,0 days 00:42:00,5898.946408391726,1485.6041666666654,-7040.582256971456
47,47,0 days 01:00:00,68040.32499999998,42.874381466433576,-573.891129032258,2021-01-15 21:46:00,2021-01-15 22:46:00,1 days 00:06:00,60283.46171921335,1918.227777777778,-11723.426976649995
48,48,0 days 00:06:00,32356.75,26.303445926803874,7802.631250000002,2021-01-15 21:54:00,2021-01-15 22:00:00,0 days 00:06:00,-71889.54001272624,7802.631250000002,4932.12544520448
49,49,0 days 00:08:00,14166.399999999994,9.910071404574438,-2962.3700000000013,2021-01-15 22:48:00,2021-01-15 22:56:00,0 days 23:02:00,41104.906054271036,-915.0,-7171.101653195879
50,50,0 days 00:24:00,10919.159459459457,18.302097460236737,-106.28076923076878,2021-01-21 06:50:00,2021-01-21 07:14:00,0 days 01:08:00,4024.883174524235,262.1415071770336,-1376.8958194879087
51,51,0 days 00:32:00,19869.403846153844,26.66956969752036,-171.23823529411783,2021-01-21 09:46:00,2021-01-21 10:18:00,0 days 22:24:00,6846.030879836369,-190.34867788461543,-2975.000173528554
52,52,0 days 00:14:00,9504.625,16.448477071380637,-276.13437499999964,2021-02-05 06:46:00,2021-02-05 07:00:00,0 days 00:16:00,-12538.986597834846,-217.09642857142794,476.7602316473667
53,53,0 days 00:24:00,9273.030303030304,7.598934396023651,-167.95000000000044,2021-02-14 01:04:00,2021-02-14 01:28:00,0 days 00:54:00,-1223.285978022558,-118.47638888888953,-1761.15344544392
54,54,0 days 00:06:00,8010.125,7.924069604099486,-2097.1375000000007,2021-02-19 03:12:00,2021-02-19 03:18:00,0 days 03:22:00,-10516.474571741037,-174.52499999999418,-5407.447740609119
55,55,0 days 00:32:00,10192.650000000009,11.097885063315815,-576.625,2021-02-19 03:28:00,2021-02-19 04:00:00,0 days 01:04:00,-26803.129937674326,24.23956043956111,-2285.3836085279218
56,56,0 days 00:06:00,5784.7777777777665,7.319775329869998,-1346.9625000000015,2021-02-25 04:00:00,2021-02-25 04:06:00,0 days 00:54:00,-8993.42274598826,-1638.623148148147,-1724.2510676644156
57,57,0 days 00:48:00,52754.7,48.72729187218054,-547.245,2021-03-08 22:10:00,2021-03-08 22:58:00,0 days 01:20:00,-2652.18971046108,-196.2464803312633,-3166.660551150915
58,58,0 days 00:12:00,13933.999999999985,9.8030421511817,-1426.0250000000026,2021-03-10 19:46:00,2021-03-10 19:58:00,0 days 02:30:00,10315.480031642532,471.49499999999824,-7384.0329529194605
59,59,0 days 00:18:00,13095.200000000012,11.921501367037138,-605.4199999999997,2021-03-11 22:14:00,2021-03-11 22:32:00,0 days 00:32:00,-17809.472390701718,-646.2694444444447,-986.7308691056842
60,60,0 days 00:30:00,73323.74372759854,53.04842817837914,-720.7281249999992,2021-03-17 18:14:00,2021-03-17 18:44:00,0 days 14:12:00,13759.715563953745,-780.4592592592579,-10382.923437083731
61,61,0 days 00:14:00,59135.21621621621,58.78999185055755,-3511.684374999999,2021-03-17 22:50:00,2021-03-17 23:04:00,0 days 02:08:00,-4048.711145341857,-3996.8380308880296,-17226.283984736558
62,62,0 days 00:10:00,7210.644871794881,9.489082769110041,102.61250000000048,2021-03-17 23:02:00,2021-03-17 23:12:00,0 days 00:10:00,-55370.48680694057,776.0562499999978,10199.08394701082
63,63,0 days 00:12:00,10229.251086956501,7.023200460253449,-1444.3715838509295,2021-03-20 16:56:00,2021-03-20 17:08:00,0 days 03:50:00,-2944.0502937320052,-7450.9010869565245,-5383.620271124098
