,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime
57,57,0 days 00:08:00,8296.375,6.0690424791824995,-486.32999999999885,2021-03-25 19:04:00,2021-03-25 19:12:00,0
58,58,0 days 00:16:00,22711.949999999997,29.981129746687145,-763.7916666666666,2021-03-26 10:48:00,2021-03-26 11:04:00,0
59,59,0 days 00:18:00,27347.399999999994,27.112604842067682,-573.3074999999997,2021-03-30 14:46:00,2021-03-30 15:04:00,0
60,60,0 days 00:08:00,13452.724999999991,14.839572045041379,-1541.1149999999993,2021-04-01 02:14:00,2021-04-01 02:22:00,0
61,61,0 days 00:10:00,14138.224999999991,16.864935050217937,-883.2541666666657,2021-04-01 02:38:00,2021-04-01 02:48:00,0
62,62,0 days 00:30:00,15424.025000000001,25.49924014073825,-474.703125,2021-04-01 05:40:00,2021-04-01 06:10:00,0
63,63,0 days 00:10:00,8911.824999999997,16.03482136350837,103.5083333333326,2021-04-01 06:16:00,2021-04-01 06:26:00,0
64,64,0 days 00:28:00,12233.324999999997,20.89413880577959,-106.91666666666667,2021-04-01 06:38:00,2021-04-01 07:06:00,0
65,65,0 days 00:08:00,10722.099999999999,17.112489790576646,-300.475,2021-04-01 07:22:00,2021-04-01 07:30:00,0
66,66,0 days 00:10:00,8646.650000000001,15.06848360166498,-758.5124999999995,2021-04-07 05:28:00,2021-04-07 05:38:00,0
67,67,0 days 00:14:00,76186.325,46.478024744229664,-8699.353125,2021-04-17 20:02:00,2021-04-17 20:16:00,0
68,68,0 days 00:18:00,25923.90000000001,25.790229241839555,-1316.1875,2021-04-18 03:56:00,2021-04-18 04:14:00,0
69,69,0 days 00:14:00,33662.100000000006,28.943138363387405,-1920.8999999999996,2021-04-20 20:34:00,2021-04-20 20:48:00,0
70,70,0 days 00:44:00,71652.87500000001,54.36167613879918,-692.098913043478,2021-04-21 19:06:00,2021-04-21 19:50:00,0
71,71,0 days 00:22:00,26288.915384615393,26.547859118167977,-272.25,2021-04-23 14:58:00,2021-04-23 15:20:00,0
72,72,0 days 00:24:00,42580.94999999998,27.62439702729712,-968.4076923076937,2021-04-25 18:34:00,2021-04-25 18:58:00,0
73,73,0 days 00:12:00,16724.09999999999,14.844596009983917,-374.27500000000043,2021-04-30 14:32:00,2021-04-30 14:44:00,0
74,74,0 days 00:14:00,14089.549999999996,22.30873488491396,-430.14687500000036,2021-05-04 08:10:00,2021-05-04 08:24:00,0
75,75,0 days 00:20:00,28003.949999999997,21.695723214015942,-446.2590909090914,2021-05-07 17:06:00,2021-05-07 17:26:00,0
76,76,0 days 00:24:00,69931.375,48.975623848271695,-2218.8519230769216,2021-05-15 20:52:00,2021-05-15 21:16:00,0
77,77,0 days 00:10:00,11181.199999999997,8.196647102754056,-621.950000000002,2021-05-16 16:28:00,2021-05-16 16:38:00,0
78,78,0 days 00:10:00,10524.449999999997,8.560616705706607,-620.6583333333352,2021-05-17 16:18:00,2021-05-17 16:28:00,0
