,group,timespan,magnitude,drop,shape,startdate,enddate
99,99,0 days 00:04:00,917.3000000000029,4.153751757521988,302.725000000001,2020-12-19 21:32:00,2020-12-19 21:36:00
100,100,0 days 00:08:00,3780.4910256410258,18.340457654526304,-682.225,2020-12-20 04:14:00,2020-12-20 04:22:00
101,101,0 days 00:40:00,21806.657894736843,96.78230513090938,-354.57962962962984,2020-12-20 20:04:00,2020-12-20 20:44:00
102,102,0 days 00:42:00,18999.75,89.04706668072691,-300.005419858361,2020-12-21 18:44:00,2020-12-21 19:26:00
103,103,0 days 00:12:00,13535.125,85.19448680001196,-687.9035714285712,2020-12-22 05:24:00,2020-12-22 05:36:00
104,104,0 days 00:06:00,640.6564327485394,3.0463662435627583,26.807432432432506,2020-12-22 19:02:00,2020-12-22 19:08:00
105,105,0 days 00:06:00,681.4388888888898,3.1764196181377002,55.16381578947312,2020-12-22 19:24:00,2020-12-22 19:30:00
106,106,0 days 00:06:00,687.6828609986514,3.362908388822177,-154.03547297297337,2020-12-22 19:58:00,2020-12-22 20:04:00
107,107,0 days 00:08:00,2039.2291666666679,10.360401363280346,-305.09022869022886,2020-12-22 20:08:00,2020-12-22 20:16:00
108,108,0 days 00:10:00,1250.89393939394,6.637311856138382,-223.78571428571436,2020-12-22 20:14:00,2020-12-22 20:24:00
109,109,0 days 00:16:00,1389.977272727272,7.37529565176844,-133.306637806638,2020-12-22 20:14:00,2020-12-22 20:30:00
110,110,0 days 00:10:00,1701.5058275058254,9.59218754455604,-137.60576441102725,2020-12-22 20:30:00,2020-12-22 20:40:00
111,111,0 days 07:04:00,17738.454545454544,100.0,-76.46601088009534,2020-12-22 20:30:00,2020-12-23 03:34:00
112,112,0 days 07:04:00,17738.454545454544,100.0,-76.46601088009534,2020-12-22 20:30:00,2020-12-23 03:34:00
113,113,0 days 00:12:00,4024.8888888888887,80.99182792813943,-130.3624904507258,2020-12-23 03:32:00,2020-12-23 03:44:00
114,114,0 days 00:06:00,3736.228260869565,92.86065485195591,-912.6226851851852,2020-12-23 03:48:00,2020-12-23 03:54:00
115,115,0 days 00:08:00,3332.0,92.06327277750916,48.41428571428569,2020-12-23 03:52:00,2020-12-23 04:00:00
116,116,0 days 00:04:00,1181.854117647059,18.754945087360255,400.83481481481493,2020-12-23 04:12:00,2020-12-23 04:16:00
117,117,0 days 00:26:00,4272.424552429667,45.48940820292767,306.6482056590752,2020-12-23 04:12:00,2020-12-23 04:38:00
118,118,0 days 00:06:00,1021.9619047619053,9.569145022851416,133.47172619047615,2020-12-23 04:50:00,2020-12-23 04:56:00
119,119,0 days 00:16:00,5486.0,50.63221042916474,-191.1638176638175,2020-12-23 05:06:00,2020-12-23 05:22:00
120,120,0 days 00:30:00,10234.333333333334,97.88000510073961,-223.55460662525883,2020-12-23 06:00:00,2020-12-23 06:30:00
121,121,0 days 00:06:00,798.8650793650795,10.1104386912086,32.902500000000146,2020-12-23 07:08:00,2020-12-23 07:14:00
122,122,0 days 00:06:00,3645.7124999999996,45.74064664257753,-910.4156250000001,2020-12-23 08:58:00,2020-12-23 09:04:00
123,123,0 days 00:08:00,2763.2458333333334,38.98521195647062,-223.20770186335395,2020-12-23 09:02:00,2020-12-23 09:10:00
124,124,0 days 00:04:00,1594.7487922705313,25.770367820237496,621.205615942029,2020-12-23 09:06:00,2020-12-23 09:10:00
125,125,0 days 00:10:00,1252.1871657754,12.663239458251567,33.55335968379435,2020-12-23 12:38:00,2020-12-23 12:48:00
126,126,0 days 00:04:00,812.1596638655465,8.096022731556374,254.61274509803903,2020-12-23 12:52:00,2020-12-23 12:56:00
127,127,0 days 00:06:00,1048.0636363636368,10.410676616771667,-86.94736842105249,2020-12-23 13:00:00,2020-12-23 13:06:00
128,128,0 days 00:08:00,1048.0636363636368,10.410676616771667,-50.03742690058461,2020-12-23 13:00:00,2020-12-23 13:08:00
129,129,0 days 00:06:00,756.2425000000003,7.232838992777133,64.48578947368424,2020-12-23 13:18:00,2020-12-23 13:24:00
130,130,0 days 00:06:00,731.2973856209155,5.823195040355415,40.62232620320856,2020-12-23 14:44:00,2020-12-23 14:50:00
131,131,0 days 00:08:00,1105.9702380952385,8.643029123467727,13.447570332480973,2020-12-23 14:54:00,2020-12-23 15:02:00
132,132,0 days 00:36:00,3223.5777777777785,20.31948407412233,-87.08845029239762,2020-12-23 17:30:00,2020-12-23 18:06:00
133,133,0 days 00:06:00,1533.0075187969924,11.19520586681719,-68.54166666666652,2020-12-23 18:14:00,2020-12-23 18:20:00
134,134,0 days 00:06:00,959.0083333333332,7.285152231644048,-33.85227272727252,2020-12-23 18:48:00,2020-12-23 18:54:00
135,135,0 days 00:08:00,1326.2222222222208,10.15276785410498,-266.82929292929293,2020-12-23 18:56:00,2020-12-23 19:04:00
